IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,51481,10.215.173.2,53,10313,Claude,com.anthropic.claude,DNS,Closed,api.segment.io,60,108,1,1,2026-06-25T00:47:19.740+01:00,2026-06-25T00:47:19.754+01:00
6,10.215.173.1,52346,160.79.104.10,443,10313,Claude,com.anthropic.claude,HTTPS,Closed,a-api.anthropic.com,1914,1659,8,8,2026-06-25T00:47:19.753+01:00,2026-06-25T00:47:20.021+01:00
6,10.215.173.1,36822,34.149.66.154,443,10313,Claude,com.anthropic.claude,HTTPS,Closed,browser-intake-us5-datadoghq.com,2616,4850,13,12,2026-06-25T00:47:19.757+01:00,2026-06-25T00:47:24.784+01:00
6,10.215.173.1,44776,34.208.116.103,443,10313,Claude,com.anthropic.claude,HTTPS,Closed,api.segment.io,2136,5337,13,13,2026-06-25T00:47:19.760+01:00,2026-06-25T00:47:20.490+01:00
17,10.215.173.1,6324,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,search.arin.net,61,93,1,1,2026-06-25T00:47:24.334+01:00,2026-06-25T00:47:24.499+01:00
17,10.215.173.1,16737,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,www.google.com,60,85,1,1,2026-06-25T00:47:25.589+01:00,2026-06-25T00:47:25.606+01:00
17,10.215.173.1,53191,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,www.google.com,60,188,1,1,2026-06-25T00:47:25.601+01:00,2026-06-25T00:47:25.640+01:00
17,10.215.173.1,27315,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,accounts.google.com,65,115,1,1,2026-06-25T00:47:25.628+01:00,2026-06-25T00:47:25.644+01:00
17,10.215.173.1,48356,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,accounts.google.com,65,81,1,1,2026-06-25T00:47:25.637+01:00,2026-06-25T00:47:25.649+01:00
6,10.215.173.1,40244,142.251.154.119,443,10185,Chrome,com.android.chrome,HTTPS,Closed,www.google.com,2160,5627,8,6,2026-06-25T00:47:25.661+01:00,2026-06-25T00:47:25.941+01:00
6,10.215.173.1,45862,209.85.202.84,443,10185,Chrome,com.android.chrome,TLS,Error,accounts.google.com,1989,168,6,4,2026-06-25T00:47:25.917+01:00,2026-06-25T00:47:25.936+01:00
6,10.215.173.1,45864,209.85.202.84,443,10185,Chrome,com.android.chrome,HTTPS,Closed,accounts.google.com,2133,5662,8,6,2026-06-25T00:47:25.939+01:00,2026-06-25T00:47:26.005+01:00
6,10.215.173.1,40246,142.251.154.119,443,10185,Chrome,com.android.chrome,HTTPS,Closed,www.google.com,2064,5628,8,6,2026-06-25T00:47:25.943+01:00,2026-06-25T00:47:26.007+01:00
17,10.215.173.1,64029,10.215.173.2,53,10185,Chrome,com.android.chrome,DNS,Closed,accounts.google.com,65,115,1,1,2026-06-25T00:47:25.998+01:00,2026-06-25T00:47:26.009+01:00
